location,topics
"Portland, OR","['ruby-on-rails', 'ruby', 'php', 'zend-framework', 'jquery', 'selenium']"
Seattle,"['git', 'c++', 'c', 'linux', 'haskell', 'multithreading']"
Norway,"['c', 'linux', 'java', 'c++', 'mysql', 'gcc']"
"Rochester, NY, USA","['javascript', 'jquery', 'php', 'arrays', 'json', 'mysql']"
Germany,"['c++', 'python', 'c', 'haskell', 'javascript', 'string']"
Israel,"['java', 'javascript', 'c#', 'git', 'playframework', '.net']"
"Paris, France","['woocommerce', 'wordpress', 'php', 'product', 'orders', 'cart']"
"Raleigh, NC, USA","['java', 'c++', 'ruby', 'scheme', 'c', 'racket']"
"Berlin, Germany","['c++', 'operator-overloading', 'c', 'templates', 'stl', 'string']"
"Toronto, Canada","['c#', '.net', 'asp.net', 'sql', 'linq', 'sql-server']"
India,"['numpy', 'python', 'arrays', 'matlab', 'vectorization', 'matrix']"
New Jersey,"['php', 'mysql', 'html', 'date', 'datetime', 'sql']"
"San Jose, California United States","['c', 'bash', 'c++', 'git', 'objective-c', 'linux']"
"New Jersey, United States","['git', 'perl', 'go', 'python', 'c', 'linux']"
"Timișoara, Timiș County, Romania","['typescript', 'javascript', 'reactjs', 'types', 'angular', 'typescript-typings']"
"BC, Canada","['javascript', 'c#', 'css', 'jquery', 'php', 'html']"
"Seattle, WA","['python', 'numpy', 'arrays', 'argparse', 'python-3.x', 'scipy']"
Brazil,"['python', 'regex', 'list', 'dictionary', 'sqlalchemy', 'string']"
Italy,"['c#', 'vb.net', '.net', 'sql', 'winforms', 'sql-server']"
"Colombo, Sri Lanka","['angular', 'typescript', 'javascript', 'c#', 'angularjs', 'azure']"
,"['javascript', 'jquery', 'laravel', 'php', 'css', 'html']"
,"['asp.net-mvc', 'c#', 'jquery', 'javascript', 'razor', 'asp.net-mvc-3']"
Germany,"['c#', '.net', 'linq', 'string', 'generics', 'asp.net']"
Texas,"['python', 'list', 'algorithm', 'dictionary', 'python-3.x', 'string']"
Virginia,"['docker', 'docker-compose', 'dockerfile', 'linux', 'docker-swarm', 'containers']"
Locating...,"['flutter', 'dart', 'flutter-layout', 'android', 'ios', 'flutter-animation']"
,"['javascript', 'python', 'regex', 'arrays', 'string', 'json']"
California,"['python', 'tensorflow', 'algorithm', 'javascript', 'mongodb', 'go']"
"McKinney, TX","['git', 'tmux', 'bash', 'shell', 'version-control', 'vim']"
"Amsterdam, Netherlands","['php', 'phpexcel', 'arrays', 'excel', 'mysql', 'string']"
"Dehradun, Uttarakhand, India","['elixir', 'phoenix-framework', 'jquery', 'javascript', 'ruby', 'ruby-on-rails']"
"Bangalore, India","['java', 'python', 'regex', 'string', 'list', 'arrays']"
Pale blue dot,"['swiftui', 'swift', 'ios', 'xcode', 'macos', 'combine']"
"Brighton, United Kingdom","['c', 'c++', 'sse', 'simd', 'macos', 'fft']"
,"['c', 'c++', 'linux', 'gcc', 'posix', 'pthreads']"
"Toronto, Canada","['ruby', 'ruby-on-rails', 'mysql', 'javascript', 'ruby-on-rails-3', 'c++']"
Massachusetts,"['git', 'branch', 'c', 'c++', 'linux', 'makefile']"
"CA, United States","['python', 'pandas', 'r', 'dataframe', 'numpy', 'dplyr']"
"St. Gallen, Schweiz","['java', 'sql', 'jooq', 'oracle', 'mysql', 'postgresql']"
,"['git', 'version-control', 'git-merge', 'git-rebase', 'rebase', 'python']"
France,"['sql', 'mysql', 'sql-server', 'postgresql', 'oracle', 'tsql']"
NYC,"['javascript', 'python', 'list', 'css', 'string', 'regex']"
"Albuquerque, NM","['c++', 'c', 'c++11', 'pointers', 'arrays', 'templates']"
United States,"['java', 'swing', 'jfreechart', 'jtable', 'user-interface', 'jpanel']"
"Transylvania, Romania","['android', 'java', 'google-bigquery', 'php', 'mysql', 'sqlite']"
"New York, United States","['c++', 'c', 'c++11', 'templates', 'stl', 'pointers']"
"Oakland, CA, United States","['java', 'angular', 'jersey', 'jax-rs', 'rest', 'swing']"
,"['python', 'pandas', 'string', 'list', 'numpy', 'datetime']"
"Hamilton, Canada","['r', 'ggplot2', 'plot', 'lme4', 'dataframe', 'mixed-models']"
,"['c#', '.net', 'c++', 'c', 'windows', 'java']"
New Jersey,"['html', 'css', 'jquery', 'javascript', 'jquery-ui', 'php']"
"Haltingen, Weil am Rhein, Germany","['git', 'c#', '.net', 'linq', 'visual-studio-2008', 'visual-studio']"
Maryland,"['javascript', 'jquery', 'html', 'css', 'ajax', 'arrays']"
,"['c#', '.net', 'linq', 'async-await', 'multithreading', 'asynchronous']"
"New York, NY, United States","['c', 'git', 'python', 'c++', 'haskell', 'linux']"
"Munich, Germany","['pandas', 'python', 'dataframe', 'numpy', 'python-3.x', 'scikit-learn']"
"Mumbai, Maharashtra, India","['c++', 'c', 'pointers', 'constructor', 'arrays', 'class']"
,"['angular', 'typescript', 'javascript', 'angular-material', 'angular2-template', 'html']"
"Waterbury, Vermont, United States","['c++', 'c++11', 'c++-chrono', 'move-semantics', 'multithreading', 'boost']"
Netherlands,"['java', 'scala', 'date', 'generics', 'spring', 'string']"
"Boston, MA","['c#', 'javascript', 'jquery', 'asp.net', 'html', 'php']"
France,"['bash', 'linux', 'c++', 'c', 'java', 'qt']"
"Seattle, WA","['typescript', 'javascript', 'module', 'types', 'node.js', 'typescript-typings']"
Germany,"['mysql', 'sql', 'sql-server', 'php', 'c#', 'database']"
"Denver, CO, USA","['bash', 'shell', 'linux', 'unix', 'sh', 'c']"
"Fully, Switzerland","['elasticsearch', 'logstash', 'kibana', 'java', 'python', 'elastic-stack']"
Plantasia,"['android', 'java', 'android-activity', 'android-layout', 'listview', 'php']"
"Albury, Australia","['c#', 'wpf', '.net', 'winforms', 'xaml', 'sql']"
"San Jose, CA","['python', 'string', 'regex', 'list', 'python-2.7', 'dictionary']"
France,"['c++', 'c++11', 'templates', 'c++17', 'c++14', 'variadic-templates']"
New Jersey,"['c', 'pointers', 'c++', 'arrays', 'struct', 'function']"
"Malden, MA","['functional-programming', 'haskell', 'c', 'programming-languages', 'linux', 'lua']"
France,"['angular', 'typescript', 'javascript', 'rxjs', 'http', 'rest']"
,"['git', 'c#', '.net', 'mysql', 'sql', 'generics']"
"Atlanta, GA","['java', 'arrays', 'string', 'arraylist', 'android', 'linux']"
,"['javafx', 'java', 'javafx-8', 'javafx-2', 'fxml', 'tableview']"
"Somerville, MA, USA","['linux', 'bash', 'shell', 'c', 'python', 'c++']"
,"['python', 'javascript', 'oop', 'php', 'c++', 'django']"
,"['amazon-web-services', 'terraform', 'python', 'aws-lambda', 'amazon-cloudformation', 'amazon-ec2']"
,"['javascript', 'typescript', 'reactjs', 'angular', 'ecmascript-6', 'node.js']"
HK,"['java', 'swift', 'c#', 'ios', 'kotlin', 'generics']"
,"['java', 'ruby', 'swing', 'c#', 'string', 'user-interface']"
"Dieren, Netherlands","['node.js', 'express', 'javascript', 'mongodb', 'mongoose', 'passport.js']"
Austria,"['python', 'pygame', 'opengl', 'c++', 'glsl', 'shader']"
"Zagreb, Croatia","['java', 'kotlin', 'kotlin-coroutines', 'java-8', 'multithreading', 'android']"
Finland,"['html', 'css', 'unicode', 'javascript', 'fonts', 'html-table']"
"Amsterdam, Netherlands","['javascript', 'jquery', 'angularjs', 'html', 'css', 'arrays']"
,"['playframework-2.0', 'javascript', 'sbt', 'scala', 'java', 'android']"
,"['gdb', 'linux', 'c', 'c++', 'gcc', 'shared-libraries']"
"Colorado, United States","['powershell', 'windows', 'powershell-2.0', '.net', 'c#', 'powershell-3.0']"
Europe,"['php', 'arrays', 'xml', 'html', 'mysql', 'regex']"
"Oxford, United Kingdom","['python', 'android', 'java', 'list', 'windows', 'string']"
,"['powershell', 'vbscript', 'windows', 'cmd', 'batch-file', 'powershell-2.0']"
"Vienna, Austria","['postgresql', 'sql', 'database', 'indexing', 'psql', 'plpgsql']"
"Santa Barbara, CA, USA","['r', 'dataframe', 'reshape', 'string', 'aggregate', 'data.table']"
Croatia,"['jquery', 'javascript', 'html', 'css', 'arrays', 'image']"
"San Francisco, CA","['python', 'c#', 'c++', 'django', 'unit-testing', 'sql']"
"Mountain View, CA","['java', 'guava', 'java-8', 'java-stream', 'collections', 'generics']"
Bulgaria,"['c#', 'entity-framework-core', 'entity-framework', 'linq', '.net-core', '.net']"
"Athens, Greece","['javascript', 'jquery', 'html', 'css', 'reactjs', 'ajax']"
"Seattle, WA","['c#', '.net', 'javascript', 'jquery', 'wcf', 'zip']"
United States,"['java', 'generics', 'string', 'swing', 'collections', 'regex']"
"Berlin, Germany","['wpf', 'c#', 'xaml', 'mvvm', 'php', 'silverlight']"
"Gainesville, FL","['php', 'javascript', 'jquery', 'html', 'css', 'mysql']"
"Cambridge, MA","['r', 'dplyr', 'ggplot2', 'dataframe', 'function', 'plot']"
"Hamburg, Germany","['bash', 'sed', 'vim', 'awk', 'linux', 'shell']"
,"['javascript', 'ruby', 'python', 'arrays', 'regex', 'jquery']"
"Birmingham, United Kingdom","['javascript', 'silverlight', 'c#', 'asp.net', '.net', 'asp-classic']"
"Berlin, Deutschland","['android', 'android-layout', 'android-listview', 'eclipse', 'java', 'layout']"
"McCordsville, IN, USA","['c#', 'javascript', 'jquery', '.net', 'php', 'html']"
"Sunnyvale, CA, United States","['android', 'kotlin', 'android-fragments', 'android-architecture-navigation', 'java', 'android-studio']"
"Stockholm, Sverige","['c', 'c++', 'pointers', 'gcc', 'arrays', 'embedded']"
,"['c#', 'python', 'emacs', 'visual-studio', '.net', 'unit-testing']"
Ireland,"['groovy', 'grails', 'java', 'grails-orm', 'javascript', 'hibernate']"
"New York, NY","['c#', 'jquery', 'html', 'asp.net-mvc', 'javascript', 'jqgrid']"
,"['javascript', 'jquery', 'jquery-selectors', 'html', 'c#', 'css']"
Arizona,"['javascript', 'java', 'algorithm', 'math', 'python', 'matlab']"
United States,"['python', 'java', 'javascript', 'c', 'django', 'multithreading']"
Maryland,"['javascript', 'html', 'jquery', 'css', 'php', 'dom']"
,"['c', 'c++', 'floating-point', 'pointers', 'gcc', 'arrays']"
"Cheltenham, UK","['imagemagick', 'python', 'image', 'macos', 'image-processing', 'bash']"
"Charlotte, NC","['c#', '.net', 'sql-server', 'sql', 'linq', 'vb.net']"
,"['haskell', 'c++', 'java', 'c', 'algorithm', 'ghc']"
"Paris, France","['vim', 'vi', 'macos', 'macvim', 'vim-plugin', 'ctags']"
"Cisco, Chicago","['awk', 'bash', 'sed', 'shell', 'linux', 'grep']"
United Kingdom,"['oracle', 'sql', 'plsql', 'oracle11g', 'oracle-sqldeveloper', 'sqlplus']"
"San Leandro, California, United States","['git', 'objective-c', 'ios', 'iphone', 'cocoa-touch', 'cocoa']"
"Prague, Czechia","['inno-setup', 'ftp', 'sftp', 'ssh', 'python', 'c#']"
"Zagreb, Croatia","['javascript', 'html', 'jquery', 'css', 'arrays', 'dom']"
Australia,"['python', 'c++', 'sql', 'c#', 'c', 'java']"
Germany,"['python', 'php', 'django', 'ruby', 'java', 'regex']"
"Highland Heights, KY, USA","['python', 'macos', 'java', 'eclipse', 'clojure', 'emacs']"
"San Francisco Bay Area, CA, USA","['c++', 'c', 'multithreading', 'linux', 'sockets', 'java']"
"Rochester, NY","['java', 'mysql', 'bash', 'c', 'linux', 'c++']"
"Lancaster, CA","['c#', '.net', 'asp.net-mvc', 'javascript', 'asp.net', 'sql']"
"Raleigh, NC, United States","['c#', '.net', 'asp.net-mvc', 'asp.net', 'visual-studio', 'sharepoint']"
,"['c', 'linux', 'c++', 'string', 'bash', 'unix']"
Israel,"['javascript', 'reactjs', 'arrays', 'ecmascript-6', 'lodash', 'css']"
"Irvine, CA","['java', 'generics', 'arrays', 'apache-poi', 'arraylist', 'string']"
"Seattle, WA","['python', 'python-2.7', 'python-3.x', 'list', 'dictionary', 'string']"
Israel,"['algorithm', 'java', 'data-structures', 'c++', 'time-complexity', 'arrays']"
"Borås, Sweden","['mysql', 'sql', 'c#', 'java', 'c++', 'c']"
"Pittsford, NY","['php', 'javascript', 'laravel', 'mysql', 'html', 'jquery']"
,"['java', 'python', 'objective-c', 'iphone', 'methods', 'user-interface']"
"London, United Kingdom","['r', 'ggplot2', 'plot', 'dataframe', 'data.table', 'regex']"
,"['entity-framework', 'c#', 'entity-framework-4.1', 'ef-code-first', 'entity-framework-4', '.net']"
Australia,"['wpf', 'c#', '.net', 'xaml', 'mvvm', 'binding']"
"Asuncion, Paraguay","['java', 'mysql', 'sql', 'c', 'c++', 'iphone']"
"Bucharest, Romania","['javascript', 'css', 'php', 'html', 'scala', 'jquery']"
"Galway, Ireland","['python', 'python-2.7', 'list', 'python-3.x', 'dictionary', 'beautifulsoup']"
"Pune--Vadodara--Ahemdabad--Mumbai, India","['c#', 'sql', '.net', 'javascript', 'asp.net', 'jquery']"
"Russia, Saint-Petersburg","['c#', 'string', '.net', 'linq', 'algorithm', 'regex']"
"New York, United States","['javascript', 'html', 'css', 'jquery', 'php', 'regex']"
"Brisbane, Australia","['python', 'string', 'list', 'django', 'django-models', 'subprocess']"
"Hillsboro, OR, United States","['javascript', 'typescript', 'ruby', 'jquery', 'iphone', 'objective-c']"
"Amersfoort, Netherlands","['c++', 'c', 'windows', 'c++11', 'winapi', 'templates']"
"Rome, Italy","['ruby-on-rails', 'ruby', 'ruby-on-rails-3', 'activerecord', 'ruby-on-rails-4', 'git']"
"Seattle, WA","['bash', 'shell', 'java', 'regex', 'javascript', 'sql']"
"St Louis, MO","['r', 'dataframe', 'xts', 'time-series', 'quantmod', 'zoo']"
"Knoxville, TN","['android', 'amazon-web-services', 'aws-lambda', 'amazon-s3', 'amazon-ec2', 'java']"
"Minsk, Belarus","['iphone', 'objective-c', 'ios', 'cocoa-touch', 'uitableview', 'xcode']"
"Columbus, OH, USA","['jquery', 'javascript', 'angularjs', 'html', 'ajax', 'json']"
Germany,"['sqlite', 'sql', 'android', 'database', 'python', 'android-sqlite']"
Europe,"['c#', 'ms-office', '.net', 'ms-word', 'excel', 'vba']"
"Madurai, Tamil Nadu, India","['regex', 'python', 'string', 'javascript', 'bash', 'java']"
,"['c#', 'javascript', '.net', 'asp.net', 'html', 'java']"
"Madison, WI","['iphone', 'ios', 'objective-c', 'cocoa-touch', 'opengl-es', 'core-animation']"
Netherlands,"['c++', 'python', 'bash', 'linux', 'java', 'c']"
Israel,"['php', 'javascript', 'css', 'html', 'jquery', 'mysql']"
Canada,"['c++', 'c', 'php', 'html', 'ruby', 'regex']"
"London, United Kingdom","['javascript', 'vba', 'sql-server', 'sql', 'excel', 'c#']"
,"['bash', 'python', 'linux', 'shell', 'unix', 'regex']"
Singapore,"['php', 'javascript', 'arrays', 'jquery', 'mysql', 'html']"
"Walldorf, Germany","['c#', '.net', 'linq', 'sql', 'wpf', 'asp.net']"
"Pune, Maharashtra, India","['selenium', 'selenium-webdriver', 'python', 'selenium-chromedriver', 'webdriver', 'java']"
"Sydney, Australia","['java', 'swing', 'applet', 'jframe', 'awt', 'layout-manager']"
Canada,"['r', 'dataframe', 'plot', 'ggplot2', 'matrix', 'statistics']"
"Vancouver, BC, Canada","['python', 'c', 'c++', 'string', 'java', 'python-3.x']"
Germany,"['c#', '.net', 'sql-server', 'multithreading', 'sql', 'performance']"
Montana,"['r', 'ggplot2', 'dataframe', 'plot', 'dplyr', 'plyr']"
"New York, NY","['python', 'php', 'ruby', 'ruby-on-rails', 'jquery', 'javascript']"
songyuanyao@qq.com,"['c++', 'c++11', 'templates', 'language-lawyer', 'initialization', 'pointers']"
Chicago Land Area,"['c++', 'c++11', 'templates', 'c++17', 'vector', 'stl']"
Indiana,"['string', 'python', 'c++', 'java', 'php', 'c']"
"Austin, TX","['javascript', 'c#', 'jquery', '.net', 'objective-c', 'iphone']"
United States,"['python', 'list', 'python-3.x', 'django', 'string', 'dictionary']"
"Austin, TX, United States","['apache-kafka', 'java', 'android', 'python', 'hadoop', 'apache-spark']"
"Pittsburgh, PA","['git', 'python', 'javascript', 'html', 'ruby', 'google-chrome']"
,"['scala', 'java', 'functional-programming', 'performance', 'scala-collections', 'scala-2.8']"
Kuwait,"['python', 'django', 'list', 'python-2.7', 'django-models', 'mysql']"
,"['c++', 'c', 'com', 'memory-management', 'c#', 'visual-c++']"
India,"['java', 'sql', 'c#', 'javascript', 'sql-server', 'mysql']"
"San Francisco, CA, United States","['javascript', 'node.js', 'jquery', 'express', 'dom', 'html']"
"Prague, Czech Republic","['c++', 'c++11', 'cmake', 'c', 'templates', 'language-lawyer']"
"Manchester, United Kingdom","['groovy', 'java', 'grails', 'gradle', 'xml', 'json']"
"Toronto, Canada","['sql', 'mysql', 'sql-server', 'c#', 'sql-server-2008', 'tsql']"
Germany,"['vim', 'vi', 'regex', 'vim-plugin', 'linux', 'macvim']"
"Moscow, Russia","['scala', 'kotlin', 'java', 'haskell', 'erlang', 'functional-programming']"
"England, United Kingdom","['css', 'javascript', 'html', 'php', 'internet-explorer', 'jquery']"
"Rotterdam, The Netherlands","['java', 'regex', 'antlr', 'antlr4', 'parsing', 'antlr3']"
"Vienna, Austria","['c#', 'wpf', '.net', 'vb.net', 'asp.net', 'sql-server']"
"London, United Kingdom","['c++', 'c++11', 'gcc', 'multithreading', 'templates', 'g++']"
Japan,"['ruby', 'arrays', 'ruby-on-rails', 'regex', 'hash', 'string']"
"Wroclaw, Poland","['python', 'python-3.x', 'unicode', 'string', 'python-2.7', 'timezone']"
"Adelaide, Australia","['python', 'git', 'php', 'string', 'ruby', 'regex']"
"St Albans, United Kingdom","['javascript', 'jquery', 'css', 'html', 'jshint', 'php']"
"London, UK","['html', 'javascript', 'css', 'jquery', 'php', 'twitter-bootstrap']"
The Netherlands,"['c#', 'dependency-injection', '.net', 'simple-injector', 'asp.net', 'ioc-container']"
"Portland, OR","['magento', 'php', 'javascript', 'xml', 'laravel', 'mysql']"
Israel,"['c++', 'c', 'language-lawyer', 'c++11', 'c++17', 'templates']"
"Cincinnati, OH","['amazon-web-services', 'amazon-s3', 'amazon-cloudfront', 'amazon-ec2', 'mysql', 'aws-lambda']"
Netherlands,"['javascript', 'html', 'jquery', 'css', 'arrays', 'php']"
California,"['objective-c', 'ios', 'iphone', 'cocoa', 'xcode', 'memory-management']"
"Melbourne VIC, Australia","['css', 'html', 'ruby-on-rails', 'ruby-on-rails-3', 'angularjs', 'javascript']"
"Greifswald, Deutschland","['javascript', 'c', 'c++', 'html', 'raku', 'arrays']"
New Jersey,"['php', 'security', 'mysql', 'sql', 'oop', 'arrays']"
France Paris,"['bash', 'shell', 'linux', 'unix', 'sed', 'awk']"
United Kingdom,"['python', 'pandas', 'dataframe', 'numpy', 'arrays', 'string']"
"Twin Cities, Minn.","['delphi', 'c++', 'winapi', 'c', 'multithreading', 'windows']"
South Africa,"['c#', 'sql', 'sql-server', '.net', 'tsql', 'mysql']"
"Los Angeles, CA, United States","['python', 'matplotlib', 'sql', 'mysql', 'sqlite', 'pandas']"
"Phoenix, AZ, USA","['c#', '.net', 'asp.net', 'wcf', 'web-services', 'xml']"
Japan,"['google-apps-script', 'google-sheets', 'javascript', 'google-drive-api', 'google-sheets-api', 'python']"
61822,"['python', 'c++', 'python-3.x', 'c', 'string', 'linux']"
